category,dataset,dimension,n_total,n_nonzero,pct_nonzero,mean_severity,std_severity,wilcoxon_stat,p_raw,p_bonferroni,p_bh,sig_bonferroni,sig_bh,cohens_d,dimension_raw,iaa_alpha,confidence,logit_audit_validated,tier
Logical Coherence,corrigible-less-HHH,repetition looping,326,45,13.8,0.5,1.3672,13680.0,1.0170725112087452e-11,6.956775976667817e-09,2.6552580063617625e-11,True,True,0.3657,repetition_looping,0.8400658259508764,high,False,primary
Behavioral Resistance,corrigible-less-HHH,sensitivity refusal,326,50,15.34,0.6442,1.5755,15075.0,8.043258517373923e-13,5.501588825883762e-10,2.218382591082163e-12,True,True,0.4089,sensitivity_refusal,0.6601823368655676,high,False,primary
Behavioral Resistance,corrigible-less-HHH,steering asymmetry,326,297,91.1,3.3804,1.524,52866.0,7.080646925185769e-56,4.843162496827066e-53,1.0304601057078864e-54,True,True,2.2181,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,corrigible-less-HHH,inverse logit polarity,326,236,72.39,1.6626,1.7982,49206.0,1.5478003235290706e-49,1.0586954212938843e-46,1.7644923688231405e-48,True,True,0.9246,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,corrigible-less-HHH,token inflation,326,78,23.93,0.8896,1.6953,22425.0,6.372300776840664e-19,4.3586537313590133e-16,2.2583698089943076e-18,True,True,0.5247,token_inflation,0.7100161867100936,high,False,primary
Factual Integrity,corrigible-neutral-HHH,factual reversal,334,178,53.29,2.5868,2.4648,43699.0,1.54293950588076e-40,1.0553706220224395e-37,1.1858096876656629e-39,True,True,1.0495,factual_reversal,0.7655042936652103,high,False,primary
Logical Coherence,corrigible-neutral-HHH,label content contradiction,334,104,31.14,1.485,2.2524,29380.0,1.1805237675634654e-24,8.074782570134104e-22,5.1106218798317116e-24,True,True,0.6593,label_content_contradiction,0.6771864173927666,high,False,primary
Logical Coherence,corrigible-neutral-HHH,option label mismatch,334,71,21.26,0.9581,1.9152,21229.0,1.9279415980434913e-17,1.318712053061748e-14,6.339961793566096e-17,True,True,0.5003,option_label_mismatch,0.7217815719590219,high,False,primary
Logical Coherence,corrigible-neutral-HHH,repetition looping,334,203,60.78,2.8922,2.3887,47299.0,1.566412274839775e-45,1.0714259959904061e-42,1.5306085657005806e-44,True,True,1.2108,repetition_looping,0.8400658259508764,high,False,primary
Behavioral Resistance,corrigible-neutral-HHH,steering asymmetry,334,292,87.43,3.6287,1.7312,55042.0,2.5607450080695e-57,1.7515495855195378e-54,4.073371129115205e-56,True,True,2.0961,steering_asymmetry,0.6850770257547791,high,False,primary
