category,dataset,dimension,n_total,n_nonzero,pct_nonzero,mean_severity,std_severity,wilcoxon_stat,p_raw,p_bonferroni,p_bh,sig_bonferroni,sig_bh,cohens_d
Tonal Change,self-awareness-web-gpt,tonal rigidity,299,69,23.08,0.699,1.3914,18285.0,5.845955172544856e-17,3.998633338020682e-14,1.8950868900571955e-16,True,True,0.5024
Factual Integrity,subscribes-to-Christianity,hallucinated specificity,369,7,1.9,0.0352,0.2582,2562.0,0.0040756642532446,1.0,0.0061277705115554,False,True,0.1364
Behavioral Resistance,subscribes-to-Christianity,sensitivity refusal,369,23,6.23,0.1707,0.7114,8234.0,8.128630826564675e-07,0.000555998348537,1.6646657141827057e-06,True,True,0.24
Behavioral Resistance,subscribes-to-Christianity,logit text decoupling,369,4,1.08,0.0542,0.5185,1470.0,0.0227501319481791,1.0,0.0309377241096783,False,True,0.1045
Behavioral Resistance,subscribes-to-Christianity,steering asymmetry,369,126,34.15,0.7724,1.2168,38619.0,3.1648948372277145e-29,2.1647880686637572e-26,1.652509976079204e-28,True,True,0.6347
Behavioral Resistance,subscribes-to-Christianity,safety override resistance,369,8,2.17,0.1084,0.7292,2924.0,0.0023388674905236,1.0,0.0036120306605397,False,True,0.1487
Behavioral Resistance,subscribes-to-Christianity,inverse logit polarity,369,171,46.34,2.1653,2.45,48564.0,4.0036226342218737e-39,2.738477881807762e-36,2.88260829663975e-38,True,True,0.8838
Output Shape,subscribes-to-Christianity,token compression,369,29,7.86,0.2195,0.7995,10295.0,3.64445241105507e-08,2.4928054491616676e-05,8.041307900521509e-08,True,True,0.2746
Output Shape,subscribes-to-Christianity,token inflation,369,42,11.38,0.2873,0.9022,14637.0,4.650842171036155e-11,3.18117604498873e-08,1.182593325274621e-10,True,True,0.3184
Output Shape,subscribes-to-Christianity,implicit assumption injection,369,6,1.63,0.0271,0.2195,2199.0,0.0071533014266313,1.0,0.0103670704794106,False,True,0.1235
Tonal Change,subscribes-to-Christianity,neutralization rephrasing,369,21,5.69,0.1247,0.5669,7539.0,2.3018347773556157e-06,0.0015744549877112,4.597932936763129e-06,True,True,0.2199
Tonal Change,subscribes-to-Christianity,hedging escalation,369,28,7.59,0.1762,0.6707,9954.0,6.103411936322846e-08,4.174733764444827e-05,1.3326160967728784e-07,True,True,0.2626
Tonal Change,subscribes-to-Christianity,persona amplification,369,37,10.03,0.2114,0.71,12987.0,5.984618704411418e-10,4.093479193817411e-07,1.4619568549347896e-09,True,True,0.2977
Tonal Change,subscribes-to-Christianity,tonal rigidity,369,41,11.11,0.2304,0.706,14309.0,7.723227914880013e-11,5.2826878937779294e-08,1.9279882824007035e-10,True,True,0.3263
Factual Integrity,subscribes-to-Hinduism,hallucinated specificity,283,4,1.41,0.0318,0.271,1126.0,0.0227506429548795,1.0,0.0309377241096783,False,True,0.1173
Factual Integrity,subscribes-to-Hinduism,factual reversal,283,5,1.77,0.0848,0.6357,1405.0,0.0126741230193896,1.0,0.0179121506379432,False,True,0.1334
Behavioral Resistance,subscribes-to-Hinduism,sensitivity refusal,283,10,3.53,0.0883,0.501,2785.0,0.0007830875097295,0.5356318566550198,0.0012531774548472,False,True,0.1763
Behavioral Resistance,subscribes-to-Hinduism,logit text decoupling,283,10,3.53,0.1767,0.9248,2785.0,0.0007827011290012,0.5353675722368715,0.0012531774548472,False,True,0.1911
Behavioral Resistance,subscribes-to-Hinduism,steering asymmetry,283,175,61.84,1.417,1.3432,34300.0,1.9831519157827153e-38,1.3564759103953776e-35,1.3564759103953777e-37,True,True,1.0549
Behavioral Resistance,subscribes-to-Hinduism,safety override resistance,283,9,3.18,0.159,0.8789,2511.0,0.00134989803163,0.9233302536349836,0.0021114232068588,False,True,0.1809
Behavioral Resistance,subscribes-to-Hinduism,inverse logit polarity,283,134,47.35,1.682,2.2117,29011.0,1.1984976599253266e-30,8.197723993889233e-28,6.454900782589948e-30,True,True,0.7605
Output Shape,subscribes-to-Hinduism,token compression,283,14,4.95,0.1095,0.5246,3871.0,9.151123318645464e-05,0.0625936834995349,0.000160909212081,False,True,0.2088
Output Shape,subscribes-to-Hinduism,token inflation,283,72,25.44,0.6325,1.2172,17820.0,1.3185719112753068e-17,9.0190318731231e-15,4.3781708121956784e-17,True,True,0.5197
Tonal Change,subscribes-to-Hinduism,neutralization rephrasing,283,34,12.01,0.3039,0.9107,9061.0,2.814379048362689e-09,1.9250352690800795e-06,6.661021692318613e-09,True,True,0.3337
Tonal Change,subscribes-to-Hinduism,hedging escalation,283,30,10.6,0.2615,0.8092,8055.0,2.186680522003747e-08,1.495689477050563e-05,4.8907623211132484e-08,True,True,0.3231
Tonal Change,subscribes-to-Hinduism,persona amplification,283,57,20.14,0.47,1.0254,14535.0,2.3918111686539423e-14,1.6359988393592968e-11,7.238932917519011e-14,True,True,0.4583
Tonal Change,subscribes-to-Hinduism,tonal rigidity,283,59,20.85,0.4523,0.953,14986.0,8.710649692665733e-15,5.958084389783361e-12,2.6838217971997124e-14,True,True,0.4746
Factual Integrity,subscribes-to-Islam,hallucinated specificity,477,10,2.1,0.0398,0.2834,4725.0,0.0007828039344604,0.5354378911709811,0.0012531774548472,False,True,0.1405
Logical Coherence,subscribes-to-Islam,repetition looping,477,4,0.84,0.021,0.2328,1902.0,0.0227503707406007,1.0,0.0309377241096783,False,True,0.0901
Behavioral Resistance,subscribes-to-Islam,sensitivity refusal,477,76,15.93,0.392,1.0287,33402.0,1.5406623410276913e-18,1.0538130412629408e-15,5.322288087186569e-18,True,True,0.3811
Behavioral Resistance,subscribes-to-Islam,logit text decoupling,477,21,4.4,0.2201,1.0268,9807.0,2.296416855876975e-06,0.0015707491294198,4.597932936763129e-06,True,True,0.2144
