dimension,perplexity_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
logit_text_decoupling,max_abs_ppl_delta,-0.047543073594230545,1.7492589057846298e-09,-0.11226354047216464,4.4220298249423134e-46,16015
logit_text_decoupling,mean_steered_ppl,-0.08836154716955152,3.931191338795402e-29,-0.1038013727595834,1.2944676171809216e-39,16015
logit_text_decoupling,baseline_ppl,-0.0762478109230661,4.350948042888866e-22,-0.08380477371685427,2.3198117522156867e-26,16015
steering_asymmetry,max_abs_ppl_delta,0.2613756025777254,2.1227948398027845e-248,0.34348570576607507,0.0,16015
steering_asymmetry,mean_steered_ppl,0.20819613359792472,2.4889328570747406e-156,0.17874923553606123,4.291945678761106e-115,16015
steering_asymmetry,baseline_ppl,0.0694643917446334,1.3597638654131279e-18,0.05521572687237065,2.702994171687175e-12,16015
safety_override_resistance,max_abs_ppl_delta,0.007987971176162258,0.3121035221938574,0.08271255753109012,1.0182889103358049e-25,16015
safety_override_resistance,mean_steered_ppl,-0.08319266834770349,5.327392291326568e-26,-0.11214279661776992,5.514451296588636e-46,16015
safety_override_resistance,baseline_ppl,-0.08882334226497068,2.0208345043086808e-29,-0.10051325100557625,3.065907512485047e-37,16015
inverse_logit_polarity,max_abs_ppl_delta,-0.04665923997589652,3.4733570771445836e-09,0.024337436139123984,0.0020691186117876006,16015
inverse_logit_polarity,mean_steered_ppl,-0.02293259191826652,0.0037045317211639012,0.0289290242798712,0.00025078235318125617,16015
inverse_logit_polarity,baseline_ppl,-0.005743355670134024,0.46736494353898583,0.011818302710269483,0.13477194015266816,16015
token_compression,max_abs_ppl_delta,0.04010628700132406,3.83213936770376e-07,0.12036371918021094,9.408963340784033e-53,16015
token_compression,mean_steered_ppl,0.03389261277223564,1.7865635858428837e-05,0.05663227610952727,7.389215935926934e-13,16015
token_compression,baseline_ppl,-0.006468678179625505,0.41303841993732854,-0.0018561519846374346,0.8143029471172956,16015
token_inflation,max_abs_ppl_delta,0.35708019305371536,0.0,0.19187103649330536,1.2291441363295252e-132,16015
token_inflation,mean_steered_ppl,0.26864844217470696,7.916876053723101e-263,0.07356472331536663,1.146540648973836e-20,16015
token_inflation,baseline_ppl,0.13394560633167496,5.23992236365114e-65,0.0755933588590976,9.767663330097624e-22,16015
implicit_assumption_injection,max_abs_ppl_delta,0.3704122356962007,0.0,0.1174333879931876,2.7662141771329814e-50,16015
implicit_assumption_injection,mean_steered_ppl,0.30427840223230285,0.0,0.07250983042220135,4.019813074199719e-20,16015
implicit_assumption_injection,baseline_ppl,0.03348299503780264,2.2537577277507302e-05,0.020436702723275302,0.009700096359071087,16015
neutralization_rephrasing,max_abs_ppl_delta,-0.04800632361801381,1.215020455684682e-09,-0.034786368939144906,1.0665722598266412e-05,16015
neutralization_rephrasing,mean_steered_ppl,0.007361095811613384,0.351600456190002,0.047944977632307144,1.2753426734154657e-09,16015
neutralization_rephrasing,baseline_ppl,0.08368823157910693,2.7189467382509914e-26,0.07230876590445326,5.095260274745954e-20,16015
hedging_escalation,max_abs_ppl_delta,-0.009213110419230366,0.2436725064076447,-0.015050856641556993,0.056825464396232594,16015
hedging_escalation,mean_steered_ppl,0.03556530941052941,6.735614182815982e-06,0.051811289754968334,5.3579760203120805e-11,16015
hedging_escalation,baseline_ppl,0.10448148324432555,4.086251230688523e-40,0.08721419059727774,2.023126139481062e-28,16015
persona_amplification,max_abs_ppl_delta,-0.02967874516280024,0.0001723813884788117,0.04264495552589289,6.709926664297934e-08,16015
persona_amplification,mean_steered_ppl,-0.008904561136142228,0.2598228125824867,0.030175621099403208,0.00013382653806544789,16015
persona_amplification,baseline_ppl,0.06947501340629202,1.343514380019759e-18,0.06409613934377342,4.696262860928913e-16,16015
tonal_rigidity,max_abs_ppl_delta,0.033251791947604255,2.5665959766012287e-05,0.08135345003426772,6.245181074256238e-25,16015
tonal_rigidity,mean_steered_ppl,0.04797979266721347,1.2407593847948863e-09,0.06052779643181721,1.771017550968e-14,16015
tonal_rigidity,baseline_ppl,0.06654801085517106,3.445888551410587e-17,0.05622610317876422,1.075264776441092e-12,16015
